Bazar,Amount,Date
"chal,tel,dim,holudgura,peyaj,alu",880.0,2026-08-03
mas,880.0,2026-08-04
murgi ,600.0,2026-08-04
kacha bajar,550.0,2026-08-04
"chal,mosla,dim,vimber",3000.0,2026-08-04
rikshaw,60.0,2026-08-04
"mosla,ada,rosun",500.0,2026-08-05
